BOTTLE,20240829CCHHYDRO
33RR20220613  ,P02E       ,149     ,  2,15         ,15         ,2,20220626,2346,  30.0004,-143.3135,     5046,   1617.7,2,   2.5404,2,  34.5717,2,  34.5726,2,     61.1,2,     61.2,2,   148.09,2,    41.83,2,     0.00,2,     2.99,2,    0.004,2,    0.002,2,   0.0000,2,   2369.8,2,   2403.3,2,   7.4136,2,    25.00,2,     -999,9,   2.5391,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6983,1,     35.8,2,20220627,0105,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,14         ,14         ,2,20220626,2346,  30.0004,-143.3135,     5046,   1819.6,2,   2.2658,2,  34.5958,2,  34.5961,2,     70.1,2,     70.2,2,   155.91,2,    41.41,2,     0.00,2,     2.94,2,    0.007,2,    0.005,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   2.2655,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6989,1,     33.1,2,20220627,0100,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,13         ,13         ,2,20220626,2346,  30.0004,-143.3135,     5046,   2023.0,2,   2.0421,2,  34.6147,2,  34.6144,2,     78.5,2,     78.5,2,   161.77,2,    40.87,2,     0.00,2,     2.88,2,    0.003,2,    0.001,2,   0.0000,2,   2372.2,2,   2419.9,2,   7.4469,2,    25.01,2,     -999,9,   2.0436,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6995,1,     31.4,2,20220627,0055,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,12         ,12         ,2,20220626,2346,  30.0004,-143.3135,     5046,   2277.2,2,   1.8540,2,  34.6339,2,  34.6337,2,     90.9,2,     91.3,2,   165.39,2,    40.00,2,     0.00,2,     2.82,2,    0.003,2,    0.003,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   1.8554,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.7006,1,     28.4,2,20220627,0049,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,11         ,11         ,2,20220626,2346,  30.0004,-143.3135,     5046,   2531.3,2,   1.7211,2,  34.6469,3,  34.6517,2,    101.6,2,    101.7,2,   167.44,2,    39.44,2,     0.00,2,     2.74,2,    0.003,2,    0.003,2,   0.0000,2,   2363.5,2,   2426.9,2,   7.4921,2,    25.00,2,     -999,9,   1.7201,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.7009,1,     26.6,2,20220627,0044,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,10         ,10         ,2,20220626,2346,  30.0004,-143.3135,     5046,   2786.4,2,   1.6270,2,  34.6569,2,  34.6567,2,    110.9,2,    111.3,2,   167.63,2,    38.97,2,     0.00,2,     2.71,2,    0.003,2,    0.003,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   1.6274,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7013,1,     24.7,2,20220627,0038,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,9          ,9          ,2,20220626,2346,  30.0004,-143.3135,     5046,   3041.6,2,   1.5605,2,  34.6646,2,  34.6647,2,    119.6,2,    119.3,2,   166.85,2,    38.53,2,     0.00,2,     2.65,2,    0.002,2,    0.002,2,   0.0000,2,   2352.3,2,   2426.5,2,   7.5245,2,    25.00,2,     -999,9,   1.5605,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.7018,1,     24.4,2,20220627,0032,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,8          ,8          ,2,20220626,2346,  30.0004,-143.3135,     5046,   3348.9,2,   1.5064,2,  34.6726,2,  34.6728,2,    129.6,2,    129.7,2,   163.91,2,    37.15,2,     0.00,2,     2.60,2,    0.003,2,    0.002,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   1.5066,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0129,1,   4.7020,1,     23.1,2,20220627,0024,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,7          ,7          ,2,20220626,2346,  30.0004,-143.3135,     5046,   3656.0,2,   1.4786,2,  34.6785,2,  34.6789,2,    137.6,2,    137.7,2,   161.57,2,    37.00,2,     0.00,2,     2.55,2,    0.004,2,    0.004,2,   0.0000,2,   2339.9,2,   2426.2,2,   7.5569,2,    25.00,2,     -999,9,   1.4782,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0130,1,   4.7027,1,     22.7,2,20220627,0019,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,6          ,6          ,2,20220626,2346,  30.0004,-143.3135,     5046,   3963.3,2,   1.4715,2,  34.6828,2,  34.6824,2,    144.1,2,    144.0,2,   158.24,2,    36.68,2,     0.00,2,     2.52,2,    0.006,2,    0.005,2,   0.0000,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   1.4713,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7027,1,     22.2,2,20220627,0013,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,5          ,5          ,2,20220626,2346,  30.0004,-143.3135,     5046,   4270.4,2,   1.4842,2,  34.6851,2,  34.6849,2,    148.1,2,    147.9,2,   155.90,2,    36.56,2,     0.00,2,     2.49,2,    0.004,2,    0.007,2,   0.0000,2,   2332.0,2,   2424.7,6,   7.5741,2,    25.00,2,     -999,9,   1.4842,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0131,1,   4.7030,1,     22.3,2,20220627,0006,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,4          ,4          ,2,20220626,2346,  30.0004,-143.3135,     5046,   4554.4,2,   1.5022,2,  34.6867,2,  34.6867,2,    151.2,2,    151.5,2,   154.24,2,    36.39,2,     0.00,2,     2.48,2,    0.006,2,    0.007,2,   0.0000,2,   2328.6,2,   2422.0,2,   7.5779,2,    25.01,2,     -999,9,   1.5020,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7031,1,     21.9,2,20220627,0000,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,3          ,3          ,2,20220626,2346,  30.0004,-143.3135,     5046,   4708.8,2,   1.5168,2,  34.6871,2,  34.6877,2,    152.3,2,    152.5,2,   152.48,2,    36.32,2,     0.00,2,     2.46,2,    0.006,2,    0.007,2,   0.0000,2,   2327.4,2,   2421.3,2,   7.5796,2,    25.00,2,     -999,9,   1.5167,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7027,1,     22.0,2,20220626,2355,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,2          ,2          ,2,20220626,2346,  30.0004,-143.3135,     5046,   4991.5,2,   1.5457,2,  34.6876,2,  34.6865,2,    153.5,2,    153.9,2,   151.01,2,    36.21,2,     0.00,2,     2.46,2,    0.007,2,    0.006,2,   0.0000,2,   2325.7,2,   2419.6,2,   7.5815,2,    25.01,2,     -999,9,   1.5456,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.7019,1,     21.6,2,20220626,2350,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,149     ,  2,1          ,1          ,2,20220626,2346,  30.0004,-143.3135,     5046,   5130.9,2,   1.5618,2,  34.6876,2,  34.6875,2,    154.0,2,    154.0,2,   150.52,2,    36.30,2,     0.00,2,     2.45,2,    0.008,2,    0.007,2,   0.0000,2,   2326.2,6,   2420.3,2,   7.5816,2,    25.01,2,     -999,9,   1.5618,2,     -999,9,     -999,9,     -999,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0117,1,   4.7015,1,     21.7,2,20220626,2346,  30.0004,-143.3135,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,36         ,36         ,2,20220627,0623,  29.9997,-142.7371,     4931,      2.5,2,  22.5259,2,  34.9386,2,  34.9412,2,    221.7,2,    222.1,2,     0.59,2,     0.01,2,     0.00,2,     0.00,2,    1.743,2,    1.130,2,   1.9105,2,   2045.1,2,   2305.9,2,   7.9770,2,    25.01,2,     -999,9,  22.5194,2,     -999,1,     10.9,2,      2.1,     -999,9,     -999,9,     -999,9,     -999,9,      5.1,2,   0.0135,1,   4.6382,1,      7.3,2,20220627,0839,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,35         ,35         ,2,20220627,0623,  29.9997,-142.7371,     4931,     33.6,2,  21.7793,2,  34.8693,2,  34.8717,2,    227.7,2,    227.1,2,     0.59,2,     0.01,2,     0.00,2,     0.00,2,    1.846,2,    1.168,2,   1.9662,2,   2041.0,6,   2302.6,2,   7.9765,2,    25.01,2,     -999,9,  21.7260,2,     -999,1,      7.5,2,      2.0,     -999,9,     -999,9,     -999,9,     -999,9,      4.3,2,   0.0134,1,   4.6399,1,      7.5,2,20220627,0838,  29.9998,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,34         ,34         ,2,20220627,0623,  29.9997,-142.7371,     4931,     60.7,2,  19.8830,2,  34.7876,2,  34.7893,2,    237.1,2,    236.6,2,     0.59,2,     0.00,2,     0.00,2,     0.01,2,    1.990,2,    1.244,2,   1.9851,2,   2034.3,2,   2294.4,2,   7.9746,2,    25.01,2,     -999,9,  19.8809,2,     -999,1,     11.2,2,      2.0,     -999,9,     -999,9,     -999,9,     -999,9,      4.2,2,   0.0159,1,   4.6398,1,      7.9,2,20220627,0835,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,33         ,33         ,2,20220627,0623,  29.9997,-142.7371,     4931,     86.2,2,  19.7798,2,  34.9013,2,  34.8945,2,    234.0,2,    233.7,2,     0.59,2,     0.00,2,     0.00,2,     0.00,2,     -999,9,     -999,9,     -999,9,   2037.7,2,   2298.9,6,   7.9777,2,    25.04,2,     -999,9,  19.7935,2,     -999,1,     14.9,2,      2.1,     -999,9,     -999,9,     -999,9,     -999,9,      4.0,2,   0.0171,1,   4.6443,1,     -999,9,20220627,0833,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,32         ,32         ,2,20220627,0623,  29.9997,-142.7371,     4931,    116.6,2,  19.2575,2,  34.8650,2,  34.8585,2,    229.8,2,    230.6,2,     0.68,2,     0.00,2,     0.00,2,     0.02,2,    1.996,2,    1.238,2,   1.9768,2,   2041.1,2,   2295.7,2,   7.9669,2,    25.06,2,     -999,9,  19.2517,2,     -999,1,     16.4,2,      2.0,     -999,9,     -999,9,     -999,9,     -999,9,      4.4,2,   0.0232,1,   4.6545,1,      8.0,2,20220627,0831,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,31         ,31         ,2,20220627,0623,  29.9997,-142.7371,     4931,    166.8,2,  16.9391,2,  34.4423,3,  34.3859,2,    222.5,2,    224.5,2,     1.96,2,     1.13,2,     0.07,2,     0.18,2,    2.247,2,    1.400,2,   2.1872,2,   2049.2,2,   2264.9,2,   7.9043,2,    25.05,2,     -999,9,  16.9081,3,     -999,1,     13.9,2,      2.0,     -999,9,     -999,9,     -999,9,     -999,9,      4.7,2,   0.0199,1,   4.6721,1,      9.4,2,20220627,0829,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,30         ,17         ,2,20220627,0623,  29.9997,-142.7371,     4931,    216.3,2,  12.6501,2,  34.0240,2,  34.0145,2,    220.1,2,    220.5,2,     5.77,2,     6.58,2,     0.00,2,     0.57,2,    2.669,2,    1.638,2,   2.3136,2,   2073.8,2,   2243.6,2,   7.8101,2,    25.04,2,     -999,9,  12.6572,2,     -999,1,     13.9,2,      2.0,     -999,9,     -999,9,     -999,9,     -999,9,      9.2,2,   0.0134,1,   4.6850,1,     12.4,2,20220627,0827,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,29         ,29         ,2,20220627,0623,  29.9997,-142.7371,     4931,    267.7,2,  11.3233,2,  34.0375,2,  34.0366,2,    213.8,2,    213.7,2,    10.27,2,    11.23,2,     0.00,2,     0.82,2,    2.783,2,    1.711,2,   2.1960,2,   2095.5,2,   2248.3,2,   7.7651,2,    25.03,2,     -999,9,  11.3498,2,     -999,1,     15.8,2,      2.1,     -999,9,     -999,9,     -999,9,     -999,9,     13.5,2,   0.0122,1,   4.6891,1,     15.5,2,20220627,0824,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,28         ,28         ,2,20220627,0623,  29.9997,-142.7371,     4931,    318.3,2,  10.1342,2,  34.0596,2,  34.0552,2,    208.7,2,    208.7,2,    16.72,2,    15.28,2,     0.00,2,     1.08,2,    2.950,2,    1.782,2,   2.0682,2,   2118.6,2,   2256.2,2,   7.7202,2,    25.01,2,     -999,9,  10.1388,2,     -999,1,      9.1,2,      2.3,     -999,9,     -999,9,     -999,9,     -999,9,     18.1,2,   0.0122,1,   4.6908,1,     18.6,2,20220627,0822,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,27         ,27         ,2,20220627,0623,  29.9997,-142.7371,     4931,    368.6,2,   9.1861,2,  34.0244,2,  34.0227,2,    199.9,2,    199.8,2,    22.79,2,    18.31,2,     0.00,2,     1.29,2,    2.963,2,    1.802,2,   1.8623,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   9.1861,2,     -999,1,     -0.1,2,      2.0,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6917,1,     21.8,2,20220627,0820,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,26         ,26         ,2,20220627,0623,  29.9997,-142.7371,     4931,    438.5,2,   7.9073,2,  34.0144,2,  34.0125,2,    160.5,3,    158.1,2,    36.38,2,    24.87,2,     0.00,2,     1.74,2,    2.757,2,    1.648,2,   1.1485,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   7.9429,2,     -999,1,    -16.1,2,      2.0,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0122,1,   4.6926,1,     27.5,2,20220627,0817,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,25         ,25         ,2,20220627,0623,  29.9997,-142.7371,     4931,    540.5,2,   6.0709,2,  33.9847,2,  33.9837,2,    104.4,2,    104.7,2,    59.95,2,    33.23,2,     0.00,2,     2.36,2,    2.232,2,    1.273,2,   0.7298,2,   2246.0,2,   2287.3,2,   7.4454,2,    25.00,2,     -999,9,   6.0757,2,     -999,1,    -62.5,2,      2.1,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6942,1,     34.1,2,20220627,0814,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,24         ,24         ,2,20220627,0623,  29.9997,-142.7371,     4931,    641.2,2,   5.0368,2,  34.0515,2,  34.0560,2,     53.9,3,     55.2,2,    81.75,2,    39.21,2,     0.00,2,     2.80,2,    1.327,2,    0.744,2,   0.4081,2,   2299.6,2,   2306.9,2,   7.3439,2,    25.00,2,     -999,9,   5.0336,2,     -999,1,   -104.6,2,      2.5,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6947,1,     41.7,2,20220627,0810,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,23         ,23         ,2,20220627,0623,  29.9997,-142.7371,     4931,    741.9,2,   4.3979,2,  34.1552,2,  34.1583,2,     26.5,3,     26.9,2,    95.63,3,    41.73,3,     0.00,2,     3.04,2,    0.561,2,    0.307,2,   0.2405,2,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   4.3968,2,     -999,1,   -142.5,2,      2.0,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6949,1,     51.2,2,20220627,0808,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,22         ,22         ,2,20220627,0623,  29.9997,-142.7371,     4931,    842.9,2,   4.0318,2,  34.2554,2,  34.2554,2,     13.6,3,     13.4,2,   111.07,2,    43.60,2,     0.00,2,     3.13,2,    0.161,2,    0.099,2,   0.1776,2,   2352.2,2,   2345.8,2,   7.2895,2,    24.99,2,     -999,9,   4.0318,2,     -999,1,   -172.1,2,      1.9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6946,1,     54.2,2,20220627,0805,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,21         ,21         ,2,20220627,0623,  29.9997,-142.7371,     4931,    943.9,2,   3.7272,2,  34.3487,2,  34.3480,2,     10.7,3,     10.1,2,   122.90,2,    44.19,2,     0.00,2,     3.19,2,    0.034,2,    0.029,2,   0.1862,2,   2366.2,2,   2360.5,2,   7.2940,2,    25.00,2,     -999,9,   3.7290,2,     -999,1,   -198.2,2,      1.9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6948,1,     -999,5,20220627,0802,  29.9998,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
33RR20220613  ,P02E       ,150     ,  1,20         ,20         ,2,20220627,0623,  29.9997,-142.7371,     4931,   1045.4,2,   3.5319,2,  34.4151,2,  34.4141,2,     16.0,3,     15.7,2,   128.95,2,    44.03,2,     0.00,2,     3.17,2,     -999,5,     -999,5,     -999,5,   2372.7,2,   2373.4,2,   7.3147,2,    25.01,2,     -999,9,   3.5353,2,     -999,1,   -214.3,2,      1.9,     -999,9,     -999,9,     -999,9,     -999,9,     -999,9,   0.0134,1,   4.6949,1,     -999,5,20220627,0759,  29.9997,-142.7371,-999          ,9,-999          ,9,-999          ,9,-999          ,9,-999          ,9
